Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Pass/Fail,Pass/Fail Criteria,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Hadj,TOC_MA
11,Mining,210.32,28.92,29.29,29.63,115.11,"Wed Sep 8, 2021 - 15:13:34",User,2,ppm,,,,EA2001-0.0,Mining,,0,0,2.4095,14698.7607,303.7351,2.4294,1.3631,0,5.4422,316.7053,33.4837,646313.313,1408.6747,0,2.0333,207298.438,366.3534,3.3286,2.5328,6077.5225,37.3806,0,41.5031,107.6889,6.738,26.4704,4.8819,8960.0322,92.4445,0,0,0,3.1844,7867.8184,111.6958,2043.9371,989.2047,25.1981,22.465,0,1.7116,0,1.3626,112.8891,8.4774,8667.4043,177.7701,5.9718,1.4571,0,2.1478,27.226,1.5452,0,0,20436.5664,74.1338,0,7.6977,5.5448,1.0989,74569.5391,219.6983,17.1306,3.9885,974.0791,3.0018,0,0,0,2.0529,1099.4056,28.6616,9.6155,2.261,167.1208,9.8702,0,11.2933,18.3017,0.9579,120.6276,6.0979,27.0051,1.9515,173,0.03
68,Mining,211.32,29.6,29.32,29.91,116.14,"Tue Sep 7, 2021 - 14:01:07",User,2,ppm,,,,EA2001-0.6a,Mining,,0.6,0,2.9558,13792.6719,279.67,2.2889,1.2756,0,5.5069,244.4329,30.8126,658220.75,1329.8661,0,1.8642,176859.6719,343.1012,6.6771,2.3945,10741.543,46.3728,0,37.6762,133.1512,6.5876,32.3429,4.7772,7867.833,83.6187,0,0,0,3.1482,6559.0806,100.9512,2511.637,940.2809,0,40.4048,0,1.9123,0,1.2929,103.6706,7.9208,8452.9873,174.4885,4.8042,1.3733,0,2.3951,24.2562,1.4846,0,0,19099.9336,71.5164,0,6.4826,6.0749,1.0877,93032.0859,237.2381,7.3711,3.6671,959.9452,2.8526,0,0,3.5022,1.1136,911.6043,25.5921,16.0045,2.2378,199.6514,9.442,0,11.0114,12.3097,0.863,171.0378,6.4865,22.543,1.84,173.6,0.045
69,Mining,210.68,29.58,29.34,28.96,116.04,"Tue Sep 7, 2021 - 14:07:38",User,2,ppm,,,,EA2001-2.8a,Mining,,2.8,2.6961,1.6615,7428.1079,257.1387,2.2831,1.1592,0,5.2983,309.6113,33.7001,634450.125,1551.0514,0,1.9591,241238.2656,389.8493,4.4248,2.5656,11327.8096,48.0701,0,27.6384,54.4387,6.2838,9.101,4.3096,3649.3047,60.7911,0,0,0,2.8082,3868.6733,85.6893,11990.8477,1226.1272,43.0427,22.3765,0,1.6302,0,1.2652,56.0124,6.9674,8398.582,176.7948,0,1.8421,0,2.9316,11.2553,1.3424,0,0,12327.5459,59.5942,0,7.0305,1.9893,0.9467,63214.7773,205.4216,8.8365,3.9775,1010.657,3.0199,0,0,0,2.4446,358.7487,23.9175,10.8177,2.2585,129.2829,8.3549,0,0,2.8552,0.7731,78.6689,5.3521,11.2675,1.8833,175.8,0.065
97,Mining,210.11,29.64,29.12,29.1,117.17,"Tue Sep 7, 2021 - 16:55:26",User,2,ppm,,,,EA2001-3.2,Mining,,3.2,2.3606,1.4181,13180.0732,255.2382,0,2.5029,0,4.8821,177.7025,28.1786,650455.0625,1262.301,0,1.7222,114211.7656,297.0183,6.0085,2.2173,12388.5225,48.7919,0,34.6829,104.4974,5.8929,30.6278,4.5272,7468.1133,78.5996,0,0,0,2.5359,5641.4531,94.4609,1972.8129,817.9786,0,28.1102,0,1.5091,0,1.1959,114.715,7.6737,12345.6367,206.042,4.9258,1.2602,0,2.2529,20.741,1.3355,0,0,13493.8564,61.5186,0,9.2577,4.1842,0.9293,166491.3125,292.1408,6.1784,3.3896,748.3215,2.4171,0,0,2.0806,1.0022,844.2165,23.7574,16.0167,1.997,136.7934,8.0355,0,0,10.0795,0.7875,100.6372,5.2432,21.1724,1.5974,176.2,0.07
78,Mining,210.06,29.1,29.07,28.84,116.41,"Tue Sep 7, 2021 - 15:13:42",User,2,ppm,,,,EA2001-3.7a,Mining,,3.7,3.0275,1.4035,14050.1416,246.1559,2.8376,1.2178,0,5.2519,159.273,27.6671,692152.3125,1157.8368,0,1.7038,120428.1484,295.4541,8.5672,2.2068,10243.0674,43.5541,0,35.652,146.1269,6.2027,44.645,4.7679,7887.5547,79.451,0,0,0,2.7893,6789.5425,99.3577,2272.1404,794.5161,0,28.4807,6.9118,1.077,0,1.1834,126.1934,7.8766,5317.4438,136.5075,4.6623,1.3003,0,1.8028,29.7865,1.4136,0,0,22018.6738,72.7407,0,8.4415,10.6881,1.1235,116183.1094,248.4995,5.2019,3.3344,698.0676,2.3047,0,0,1.4828,0.9821,948.1221,23.3005,16.6783,1.958,243.7012,9.2739,0,10.1032,13.1531,0.8204,170.2782,6.0933,18.3648,1.5272,176.7,0.073
79,Mining,210.52,29.26,29.42,29.8,115.96,"Tue Sep 7, 2021 - 15:21:33",User,2,ppm,,,,EA2001-3.7b,Mining,,3.7,2.0272,1.413,14450.1826,249.5381,4.9824,1.2145,0,5.3514,147.3736,28.0973,688413.0625,1187.5685,0,1.7699,120121.1641,293.5312,11.1249,2.2705,11051.6621,45.0184,0,36.6064,145.8255,6.1567,49.6912,4.9573,8071.7544,81.8948,0,0,0,2.5058,6877.835,99.2541,3087.103,813.0126,0,28.687,6.9071,1.0998,0,1.2137,112.818,7.7608,5706.3652,140.528,0,1.8784,0,1.8691,29.2999,1.4431,0,0,22229.2676,73.1515,0,6.0551,12.7733,1.1648,117355.6719,249.2852,0,6.79,697.8172,2.3511,0,0,3.0276,1.038,964.623,23.4461,17.7826,2.0079,240.9864,9.2161,0,0,13.1171,0.8332,157.8948,6.0447,17.9656,1.5574,176.7,0.073
66,Mining,210.49,29.03,29.87,29.18,115.85,"Tue Sep 7, 2021 - 13:49:54",User,2,ppm,,,,EA2001-3.9a,Mining,,3.9,2.1898,1.5057,13113.0186,274.5323,3.1838,1.26,0,5.5237,471.1261,31.6608,672741,1396.4508,0,1.7932,173241.1406,336.942,10.4025,2.399,16465.8574,55.5351,0,32.644,146.8725,6.6182,60.7072,5.3028,5967.6074,72.8949,0,0,0,2.5818,6196.9561,96.7771,10729.9922,1079.5908,0,31.6163,0,1.5889,0,1.2365,119.866,8.0058,6284.501,150.5836,4.0295,1.3235,0,1.9628,27.4596,1.4333,0,0,21236.3926,73.7848,0,6.4505,8.0673,1.0912,71250.6641,209.8688,8.9974,3.6366,695.5145,2.4007,0,0,3.459,1.069,741.7191,26.0888,14.3199,2.0045,218.8093,9.4948,0,0,8.0413,0.8114,182.562,6.5046,24.6508,1.624,176.9,0.075
67,Mining,211.49,29.72,29.46,29.2,117.54,"Tue Sep 7, 2021 - 13:54:03",User,2,ppm,,,,EA2001-3.9b,Mining,,3.9,0,2.4417,13104.2549,271.3701,2.8289,1.2467,0,5.2844,482.2398,31.9033,671263,1376.1998,0,1.7447,173712.7188,343.8841,8.0738,2.3898,17382.1543,56.551,0,32.5155,144.8832,6.7783,56.0049,5.2173,5882.9004,72.5331,0,0,0,2.5495,6164.7544,98.5513,9132.1182,1049.3846,0,46.1026,0,1.5911,0,1.2378,118.092,7.9858,6398.0811,150.3815,3.8359,1.3232,0,2.2022,27.0909,1.4181,0,0,21836.4355,74.2073,0,6.5033,8.481,1.087,72384.3125,209.5126,8.067,3.654,696.1043,2.405,0,0,3.8702,1.0586,731.3143,27.3256,12.5278,1.9812,216.5482,9.7282,0,0,9.3062,0.8221,183.4488,6.5237,26.5112,1.6357,176.9,0.075
30,Mining,211.32,29.86,29.74,29.84,116.18,"Wed Sep 8, 2021 - 17:02:13",User,2,ppm,,,,EA2001-4.5,Mining,,4.5,2.8863,1.7371,12342.8047,324.8966,2.8542,1.3966,0,5.8399,508.899,36.2075,595727.563,1673.839,0,2.3069,264889.875,409.8096,0,5.1716,12465.2383,51.9619,0,33.579,132.6268,7.7573,32.4511,5.1797,5250.4204,74.8037,0,0,0,3.5637,6380.498,107.8058,3129.3279,1214.0959,0,32.4237,0,1.8571,0,1.4422,86.4029,8.0805,27734.5996,309.9886,4.2089,1.4824,0,2.264,21.6016,1.752,0,0,13100.8594,66.3574,0,7.3643,3.459,1.1022,55635.0898,199.1318,19.5557,4.2,1421.1497,3.7387,0,0,0,2.2756,662.9687,29.2118,28.0691,2.8605,242.1714,11.3214,0,12.174,21.1891,1.0217,124.8747,6.4179,28.3433,2.3426,177.5,0.075
84,Mining,210.67,29.66,29.24,29.57,115.23,"Tue Sep 7, 2021 - 15:52:36",User,2,ppm,,,,EA2001-5.1a,Mining,,5.1,2.2319,1.3758,14323.5098,255.7723,3.0719,1.0688,0,4.8837,130.7346,27.1403,659764.375,1199.9304,0,1.6682,120019.4766,292.7502,8.4105,2.1788,6472.0898,36.7687,0,33.3785,111.9009,5.7518,26.9626,4.3308,6958.6729,74.6998,0,0,0,2.4133,6133.0322,94.8783,2157.8867,781.9291,0,26.8957,4.9459,1.0467,0,1.1687,92.9726,7.1554,5073.2529,136.5961,0,1.665,0,2.1553,24.6613,1.3289,0,0,14649.3018,61.9291,0,6.1299,4.7721,0.932,162254.8281,286.7224,0,6.9323,677.2908,2.2564,0,0,2.4808,0.9756,830.7993,22.2806,14.4345,1.8922,125.8358,7.5855,0,0,9.9025,0.7729,105.7942,5.203,16.3239,1.4907,178.1,0.076
63,Mining,211.42,28.92,29.96,29.91,116.16,"Tue Sep 7, 2021 - 13:35:50",User,2,ppm,,,,EA2001-6.2a,Mining,,6.2,0,3.4018,8165.6177,307.8194,3.5689,1.3647,0,6.1553,1005.6447,39.5223,543816.375,1961.5099,0,2.1897,213440.9219,380.4636,0,3.9175,12068.875,54.2755,0,33.377,58.2715,6.7433,24.1736,5.1146,4746.0049,74.0756,0,0,0,3.2606,4011.0906,90.1543,2951.0171,1359.1431,0,49.5961,0,1.9028,0,1.5617,47.2126,7.4079,93152.125,534.1832,0,2.1736,0,2.5182,9.808,1.8985,0,0,10648.9238,77.6037,0,7.4593,2.3281,1.077,102882.2578,266.5426,28.9564,4.3236,2140.3257,4.7382,0,0,3.0177,1.3169,486.3224,31.2393,39.6395,3.474,129.1785,9.4094,0,0,17.8729,1.0261,89.5554,6.084,30.883,2.8819,179.2,0.08
64,Mining,210.27,28.92,29.88,29.48,114.92,"Tue Sep 7, 2021 - 13:40:35",User,2,ppm,,,,EA2001-6.2b,Mining,,6.2,2.6803,1.7695,7999.2197,309.9644,0,3.4953,0,6.12,986.2461,39.6427,539872.6875,1981.4004,0,2.3693,217531.1406,389.1408,0,3.9,11806.0752,54.0714,0,33.1781,48.6344,6.7366,24.8764,5.1076,4573.4375,72.5116,0,0,0,3.2082,3768.5979,89.8518,3314.9812,1387.629,32.2098,23.9015,0,1.8889,0,1.534,45.0369,7.3682,95710.5938,541.8327,4.7318,1.5643,0,2.3289,11.1854,1.8879,0,0,10388.457,78.054,0,7.5,3.0099,1.0904,101006.2656,265.949,19.7393,4.3057,2140.3545,4.7171,0,0,0,2.3704,416.5528,32.1014,36.9275,3.4295,124.1562,9.4899,0,0,16.2121,1.0125,86.9508,6.0144,29.0776,2.8604,179.2,0.08
87,Mining,210.77,29.36,29.41,29.87,115.03,"Tue Sep 7, 2021 - 16:06:55",User,2,ppm,,,,EA2001-7.2,Mining,,7.2,2.2777,1.2629,6113.0615,179.7831,1.285,0.9256,0,4.4259,43.323,24.4101,683800.0625,1060.2859,0,1.541,104819.5547,260.7881,3.5224,1.9584,8045.7114,38.7739,0,21.901,74.8805,4.8552,7.3099,3.7127,2757.304,47.8992,0,0,0,2.2774,2499.6387,61.4051,1126.4731,679.7592,0,24.7772,0,1.3397,0,1.0833,71.1179,6.4135,1680.6279,84.1919,0,1.4679,0,2.5106,12.1837,1.0911,0,0,10147.5596,50.6467,0,5.3641,0,1.418,177670.1406,284.2737,0,4.7003,557.3824,1.9905,0,0,1.2417,0.8766,330.1543,16.0386,10.6933,1.6946,151.6203,6.5624,0,0,5.0873,0.6779,62.3714,4.3877,5.4567,1.2956,180.2,0.093
39,Mining,210.01,29.31,29.82,29.74,114.15,"Wed Sep 8, 2021 - 17:44:08",User,2,ppm,,,,EA2001-7.5,Mining,,7.5,0,3.7028,18241.6504,341.664,0,3.3125,0,5.96,617.3054,34.6332,615110.5,1603.363,0,1.9227,169170.672,343.007,0,3.8581,14072.583,54.726,0,41.4222,150.6696,6.879,27.969,4.9447,8620.626,91.7642,0,0,0,3.0011,8842.5996,116.439,4984.2393,1105.34,0,45.8911,0,1.7526,0,1.3693,106.9249,8.4233,28879.8984,316.937,6.5159,1.4748,0,2.1305,32.5792,1.6622,0,0,19080.4766,77.563,0,8.01,4.6693,1.0846,109588.805,262.6209,11.7137,3.9063,1030.9774,3.117,0,0,3.516,1.1697,1112.1343,30.0266,14.1061,2.3815,115.9266,8.9838,0,0,14.3134,0.9434,128.9865,6.2497,29.7428,2.0229,180.5,0.095
74,Mining,211.34,29.6,29,29.76,115.78,"Tue Sep 7, 2021 - 14:33:57",User,2,ppm,,,,EA2001-8.7a,Mining,,8.7,0,3.3958,5669.3027,247.098,1.9017,1.2093,0,5.9715,311.5764,35.2804,620342.875,1511.8381,0,2.0326,288094.8125,425.284,0,3.9391,7809.375,41.3914,0,27.3236,73.9106,6.9703,7.8335,4.5699,3013.0396,59.4017,0,0,0,2.9981,3492.9861,87.0105,3668.0054,1127.9929,160.2375,27.8089,0,1.7141,0,1.3633,45.5052,7.1709,5044.3525,141.8563,0,1.9463,0,2.2604,10.6366,1.4118,0,0,10430.7959,55.3379,0,7.3489,1.4022,1.0191,50294.6914,188.1595,21.5555,4.232,1043.8666,3.2667,0,0,0,2.8427,278.9737,25.1178,8.1304,2.3956,111.0049,8.4875,0,0,1.605,0.8133,58.7295,5.3916,2.9274,1.9979,181.7,0.1
75,Mining,211.64,29.1,29.39,29.33,117.93,"Tue Sep 7, 2021 - 14:38:56",User,2,ppm,,,,EA2001-8.7b,Mining,,8.7,0,3.3675,5954.2153,249.0606,0,1.8833,0,5.6696,326.2529,35.5013,618023.5,1508.5074,0,2.112,287987.8438,421.5354,0,3.9422,8327.2197,42.2092,0,26.4733,83.8094,7.0194,16.8867,4.7205,3038.5298,58.5399,0,0,0,3.0105,3667.0449,87.5914,4297.2607,1134.8555,132.0701,26.5464,0,1.6872,0,1.3481,40.3063,6.8679,4299.4463,131.7369,4.6147,1.4321,0,2.2828,8.6096,1.3721,0,0,10474.1816,54.9508,0,7.4199,2.34,1.0141,51811.4375,189.31,18.0437,4.2296,1046.4338,3.2135,0,0,0,1.7274,252.1277,25.3717,9.7291,2.3779,110.3564,8.4171,0,0,3.2787,0.8159,59.8841,5.3188,4.5253,1.9714,181.7,0.1
94,Mining,211.16,29.42,29.01,29.62,117.39,"Tue Sep 7, 2021 - 16:40:27",User,2,ppm,,,,EA2001-9.1,Mining,,9.1,0,2.3954,14721.4209,273.2467,0,2.7731,0,5.4816,389.1617,31.8488,691174.9375,1244.0669,0,1.9304,183287.7969,348.8108,0,4.0016,7502.7622,38.8551,0,34.5797,128.5018,6.4402,38.4086,4.9662,6479.5659,77.6023,0,0,0,3.0413,8062.7715,110.2785,1960.9521,883.9803,0,31.5322,0,1.6387,0,1.2741,102.3905,7.903,3653.8542,116.8467,5.485,1.3822,0,2.0407,27.6526,1.4789,0,0,20433.8965,71.4211,0,6.5787,4.5166,1.0535,60185.1875,193.8558,5.965,3.6979,737.272,2.5337,0,0,2.8399,1.1265,731.423,24.2859,13.3772,2.0815,132.2162,8.2571,0,10.9381,11.3641,0.8658,185.6403,6.7405,20.5363,1.6831,182.1,0.11
