,corrected Ag,corrected Ag 2-Sigma,corrected Al,corrected Al 2-Sigma,corrected As,corrected As 2-Sigma,corrected Au,corrected Au 2-Sigma,corrected Ba,corrected Ba 2-Sigma,corrected Bal,corrected Bal 2-Sigma,corrected Bi,corrected Bi 2-Sigma,corrected Ca,corrected Ca 2-Sigma,corrected Cd,corrected Cd 2-Sigma,corrected Cl,corrected Cl 2-Sigma,corrected Co,corrected Co 2-Sigma,corrected Cr,corrected Cr 2-Sigma,corrected Cu,corrected Cu 2-Sigma,corrected Fe,corrected Fe 2-Sigma,corrected Fe,corrected Fe 2-Sigma,corrected Hf,corrected Hf 2-Sigma,corrected Hg,corrected Hg 2-Sigma,corrected K,corrected K 2-Sigma,corrected Mg,corrected Mg 2-Sigma,corrected Mn,corrected Mn 2-Sigma,corrected Mo,corrected Mo 2-Sigma,corrected Nb,corrected Nb 2-Sigma,corrected Ni,corrected Ni 2-Sigma,corrected P,corrected P 2-Sigma,corrected Pd,corrected Pb 2-Sigma,corrected Pb,corrected Pd,corrected Rb,corrected Rb 2-Sigma,corrected Re,corrected Re 2-Sigma,corrected S,corrected S 2-Sigma,corrected Sb,corrected Sb 2-Sigma,corrected Se,corrected Se 2-Sigma,corrected Si,corrected Si 2-Sigma,corrected Sn,corrected Sn 2-Sigma,corrected Sr,corrected Sr 2-Sigma,corrected Ta,corrected Ta 2-Sigma,corrected Th,corrected Th 2-Sigma,corrected Ti,corrected Ti 2-Sigma,corrected U,corrected U 2-Sigma,corrected V,corrected V 2-Sigma,corrected W,corrected W 2-Sigma,corrected Y,corrected Y 2-Sigma,corrected Zn,corrected Zn 2-Sigma,corrected Zr,corrected Zr 2-Sigma
0,0.0,4.858999559570767,14698.7607,6785.751928271495,2.4294,4.469175352412573,0,6.74715894466942,364.9324437281883,66.90962230196226,0.0,21397.94820049072,0,2.0333,261489.79359209628,1774.4771701745635,3.3286,2.5328,5631.536501461227,1890.5299443695487,0,72.29250055320493,107.6889,20.5232078499893,38.52751583561628,11.454129009085058,12444.497507310338,796.9118689244949,12444.497507310338,796.9118689244949,0,0.0,0,3.1844,8302.22943779212,1390.2238507300149,825.7903309335197,3004.4838344194713,233.80221629207813,56.49179156318813,0.0,1.7116,6.275114638594236,2.9340131979158803,109.81788288697967,19.538149831599853,8667.4043,424.0165315997828,0.0,1.8591667274636554,3.7239302726549153,6.197129894001628,65.52631592735871,5.908276448640164,0.0,0.0,23688.703601808116,480.5665311342349,0.0,12.236563550295417,0.0,1.608346992303745,117152.55553638324,12854.726180410747,17.1306,10.036693690684121,974.0791,6.807542116435128,0,0.0,0.0,4.224994674810752,1547.971737202202,194.54395757551927,9.6155,3.093366508041913,163.83703933657665,26.666242648996946,0,11.2933,30.887191848380542,4.036212267937042,134.52643330830222,15.248257529569525,30.792439463573224,22.546527979462216
1,0.0,5.405299559570768,13792.6719,6761.686828271495,2.2889,4.381675352412573,0,6.81185894466942,293.49193462391565,64.23852230196226,0.0,21319.13960049072,0,1.8642,223132.50983483187,1751.2249701745636,6.6771,2.3945,9930.352130128977,1899.5221443695489,0,68.46560055320494,133.1512,20.3728078499893,44.44566160613175,11.349429009085059,11254.75620074126,788.0860689244948,11254.75620074126,788.0860689244948,0,0.0,0,3.1482,7079.465876075072,1379.4792507300149,1357.5237946481875,2955.560034419472,212.55169377277255,74.43159156318814,0.0,1.9123,6.275114638594236,2.8643131979158802,101.90451169207103,18.98154983159985,8452.9873,420.7349315997828,0.0,1.7753667274636553,2.4803470404168615,6.197129894001628,63.79455053669225,5.847676448640165,0.0,0.0,22072.448235600805,477.9491311342349,0.0,11.021463550295415,0.0,1.597146992303745,132867.18398783918,12872.265980410748,7.3711,9.71529369068412,959.9452,6.6583421164351275,0,0.0,3.5022,3.285694674810752,1352.8904370972573,191.47445757551927,16.0045,3.070166508041913,198.22480691244533,26.238042648996945,0,11.0114,26.924844090478462,3.9413122679370427,187.30633155922683,15.636857529569525,26.227091568615997,22.435027979462216
2,2.6961,4.110999559570768,7428.1079,6739.155528271494,2.2831,4.265275352412573,0,6.60325894466942,357.92009915978167,67.12602230196227,0.0,21540.32490049072,0,1.9591,304258.9253515415,1797.9730701745636,4.4248,2.5656,10470.712538631878,1901.2194443695487,0,58.42780055320493,54.4387,20.0690078499893,21.02310695585613,10.88182900908506,6659.47965096844,765.2584689244949,6659.47965096844,765.2584689244949,0,0.0,0,2.8082,4565.798117248554,1364.217350730015,12134.54884595169,3241.4063344194715,248.8512507092763,56.40329156318813,0.0,1.6302,6.275114638594236,2.83661319791588,60.9936230354355,18.02814983159985,8398.582,423.0412315997828,0.0,2.2441667274636554,-2.636493114017924,6.197129894001628,56.213397372332516,5.705476448640164,0.0,0.0,13883.28217431501,466.02693113423487,0.0,11.569363550295417,0.0,1.4561469923037451,107487.80750488279,12840.449480410747,8.8365,10.02569369068412,1010.657,6.825642116435128,0,0.0,0.0,4.616694674810752,778.6037350440804,189.79985757551927,10.8177,3.090866508041913,123.83897871799111,25.150942648996946,0,0.0,20.672838603648493,3.8514122679370426,90.59532577964592,14.502457529569526,14.69068938363802,22.478327979462215
3,2.3606,3.8675995595707677,13180.0732,6737.255028271495,0.0,5.608975352412573,0,6.18705894466942,227.52963437192807,61.60452230196226,0.0,21251.57450049072,0,1.7222,144187.0128047268,1705.1420701745635,6.0085,2.2173,11448.368874415455,1901.9412443695487,0,65.47230055320493,104.4974,19.678107849989303,42.717230476117095,11.099429009085059,10819.338340941144,783.0669689244949,10819.338340941144,783.0669689244949,0,0.0,0,2.5359,6222.1196068456575,1372.988950730015,744.9283995541568,2833.2577344194715,212.55169377277255,62.136991563188126,0.0,1.5091,6.275114638594236,2.76731319791588,111.38527719893756,18.734449831599854,12345.6367,452.2884315997828,0.0,1.6622667274636553,2.6098603335310675,6.197129894001628,61.74474863041212,5.698576448640164,0.0,0.0,15293.583944770544,467.95133113423486,0.0,13.796563550295417,0.0,1.438746992303745,195392.92677161956,12927.168680410747,6.1784,9.43779369068412,748.3215,6.222842116435128,0,0.0,2.0806,3.174294674810752,1282.8903911166808,189.63975757551927,16.0167,2.829366508041913,131.7782521521903,24.831542648996944,0,0.0,25.450073067502295,3.865812267937043,113.59631841101393,14.393557529569525,24.82477745086239,22.192427979462217
4,3.0275,3.852999559570768,14050.1416,6728.172728271495,2.8376,4.323875352412573,0,6.55685894466942,209.31226698773727,61.093022301962264,0.0,21147.11030049072,0,1.7038,152020.56158328187,1703.5778701745635,8.5672,2.2068,9470.90845920396,1896.7034443695488,0,66.44140055320493,146.1269,19.987907849989302,56.84338337428134,11.340129009085059,11276.239205971226,783.9183689244949,11276.239205971226,783.9183689244949,0,0.0,0,2.7893,7294.788161168448,1377.885750730015,1085.2373206380662,2809.795234419472,212.55169377277255,62.507491563188125,6.9118,1.077,6.275114638594236,2.75481319791588,121.23859822986876,18.937349831599853,5317.4438,382.7539315997828,0.0,1.7023667274636554,2.3292126959028336,6.197129894001628,67.01940815000046,5.776676448640164,0.0,0.0,25601.78666782767,479.1734311342349,0.0,12.980363550295415,0.0,1.632946992303745,152572.4682324497,12883.527380410747,5.2019,9.38259369068412,698.0676,6.110442116435128,0,0.0,1.4828,3.154194674810752,1390.8238268074049,189.18285757551928,16.6783,2.790366508041913,244.78940406600225,26.069942648996943,0,10.1032,27.48256173050093,3.898712267937043,186.51102404782233,15.243657529569525,21.952212795233443,22.122227979462217
5,2.0272,3.862499559570768,14450.1826,6731.554928271495,4.9824,4.320575352412573,0,6.65635894466942,197.54983493849883,61.523222301962264,0.0,21176.84200049072,0,1.7699,151633.71660193667,1701.6549701745635,11.1249,2.2705,10216.188102296846,1898.1677443695487,0,67.39580055320494,145.8255,19.941907849989303,61.928806479802866,11.52952900908506,11476.88940947589,786.3621689244949,11476.88940947589,786.3621689244949,0,0.0,0,2.5058,7377.280507437428,1377.782150730015,2011.7777926285703,2828.2917344194716,212.55169377277255,62.713791563188124,6.9071,1.0998,6.275114638594236,2.78511319791588,109.75684902117092,18.821549831599853,5706.3652,386.7744315997828,0.0,2.2804667274636556,-2.636493114017924,6.197129894001628,66.73565939954645,5.806176448640165,0.0,0.0,25856.436530781793,479.58423113423487,0.0,10.593963550295417,0.0,1.674246992303745,153570.50952237673,12884.313080410748,0.0,12.83819369068412,697.8172,6.156842116435128,0,0.0,3.0276,3.210094674810752,1407.9643738904213,189.32845757551928,17.7826,2.8402665080419127,241.91961649937366,26.012142648996946,0,0.0,27.458755902849983,3.911512267937043,173.54550135597626,15.195057529569524,21.543775763417273,22.152427979462217
6,2.1898,3.955199559570768,13113.0186,6756.549128271495,3.1838,4.366075352412573,0,6.82865894466942,517.5757843158684,65.08672230196227,0.0,21385.724300490718,0,1.7932,218572.63275562786,1745.0657701745636,10.4025,2.399,15206.437903364289,1908.6844443695488,0,63.43340055320493,146.8725,20.4034078499893,73.03043164932154,11.87502900908506,9184.825286929923,777.3622689244949,9184.825286929923,777.3622689244949,0,0.0,0,2.5818,6741.130234356001,1375.305150730015,10701.067542537494,3094.8699344194715,212.55169377277255,65.64309156318812,0.0,1.5889,6.275114638594236,2.8079131979158802,115.80701338432286,19.06654983159985,6284.501,396.8300315997828,0.0,1.7255667274636552,1.6552323350256146,6.197129894001628,65.66253398758488,5.7963764486401645,0.0,0.0,24655.852835152684,480.2175311342349,0.0,10.989363550295415,0.0,1.6006469923037452,114327.65342147968,12844.896680410748,8.9974,9.68479369068412,695.5145,6.206442116435128,0,0.0,3.459,3.241094674810752,1176.419743419479,191.97115757551927,14.3199,2.836866508041913,218.476428845079,26.290842648996943,0,0.0,24.10226645866451,3.8897122679370426,199.37226471210673,15.654957529569526,28.383663651937944,22.219027979462215
7,0.0,4.891199559570768,13104.2549,6753.386928271495,2.8289,4.352775352412573,0,6.58935894466942,528.5615601588203,65.32922230196226,0.0,21365.473300490718,0,1.7447,219166.89005146283,1752.0078701745635,8.0738,2.3898,16050.986385563241,1909.7003443695487,0,63.30490055320493,144.8832,20.5635078499893,68.29158160986732,11.789529009085058,9092.553275692828,777.0004689244948,9092.553275692828,777.0004689244948,0,0.0,0,2.5495,6711.043944049918,1377.079350730015,8884.425981143935,3064.6637344194714,212.55169377277255,80.12939156318814,0.0,1.5911,6.275114638594236,2.80921319791588,114.28417121913677,19.04654983159985,6398.0811,396.62793159978276,0.0,1.7252667274636553,1.4490335394095761,6.197129894001628,65.44753570502756,5.7811764486401644,0.0,0.0,25381.424253929476,480.64003113423485,0.0,11.042163550295417,0.0,1.5964469923037452,115292.57248674036,12844.540480410747,8.067,9.702193690684119,696.1043,6.210742116435128,0,0.0,3.8702,3.230694674810752,1165.6116078456998,193.2079575755193,12.5278,2.813566508041913,216.0862429503892,26.524242648996946,0,0.0,24.938710664100142,3.9004122679370425,200.30075168039727,15.674057529569525,30.287111181975014,22.230727979462216
8,2.8863,4.186599559570768,12342.8047,6806.913428271495,2.8542,4.502675352412573,0,7.14485894466942,554.9138996454378,69.63342230196227,0.0,21663.11250049072,0,2.3069,334063.4019880561,1817.9333701745636,0.0,5.1716,11519.07762880574,1905.1112443695488,0,64.36840055320494,132.6268,21.542507849989303,44.5547026231381,11.75192900908506,8403.587763193998,779.2710689244949,8403.587763193998,779.2710689244949,0,0.0,0,3.5637,6912.614810845129,1386.333850730015,2059.783773241364,3229.3750344194714,212.55169377277255,66.45049156318812,0.0,1.8571,6.275114638594236,3.01361319791588,87.08152316006216,19.14124983159985,27734.5996,556.2350315997828,0.0,1.8844667274636553,1.846307045426014,6.197129894001628,62.246586227289875,6.115076448640164,0.0,0.0,14818.372270963513,472.79013113423485,0.0,11.903163550295417,0.0,1.6116469923037453,101036.261348713,12834.159680410747,19.5557,10.24819369068412,1421.1497,7.544442116435128,0,0.0,0.0,4.4476946748107515,1094.6166333463088,195.0941575755193,28.0691,3.692866508041913,243.17226798989037,28.117442648996946,0,12.174,32.796551480584554,4.100012267937043,138.9731822968304,15.568257529569525,32.16160388235178,22.937627979462217
9,2.2319,3.8252995595707677,14323.5098,6737.7891282714945,3.0719,4.174875352412573,0,6.18865894466942,181.10235801804245,60.56622230196227,0.0,21189.20390049072,0,1.6682,151505.5755242316,1700.8739701745635,8.4105,2.1788,5995.208161095064,1889.9180443695489,0,64.16790055320493,111.9009,19.5370078499893,39.02354160798711,10.90302900908506,10264.400846832857,779.1671689244948,10264.400846832857,779.1671689244948,0,0.0,0,2.4133,6681.405654197282,1373.406350730015,955.3409583698326,2797.2082344194714,212.55169377277255,60.92249156318813,4.9459,1.0467,6.275114638594236,2.74011319791588,92.72110386616308,18.21614983159985,5073.2529,382.8425315997828,0.0,2.0670667274636556,-2.636493114017924,6.197129894001628,64.03077457863412,5.6919764486401645,0.0,0.0,16690.74764456121,468.3618311342349,0.0,10.668763550295417,0.0,1.4414469923037452,191786.98989803565,12921.750280410748,0.0,12.98049369068412,677.2908,6.062142116435128,0,0.0,2.4808,3.147694674810752,1268.9530817382683,188.16295757551927,14.4345,2.724566508041913,120.1950842429191,24.381542648996945,0,0.0,25.33302774821847,3.8512122679370426,118.99574025976712,14.353357529569525,19.864088701461853,22.085727979462217
10,0.0,5.8512995595707675,8165.6177,6789.836228271495,3.5689,4.4707753524125735,0,7.4602589446694205,1045.9418121453446,72.94822230196226,0.0,21950.78340049072,0,2.1897,269230.2189809798,1788.5873701745636,0.0,3.9175,11153.750600618294,1907.4248443695487,0,64.16640055320494,58.2715,20.528507849989303,36.21286326759245,11.68682900908506,7854.12393276481,778.5429689244949,7854.12393276481,778.5429689244949,0,0.0,0,3.2606,4698.859670905922,1368.6823507300148,1857.0601478958515,3374.4222344194714,212.55169377277255,83.62289156318812,0.0,1.9028,6.275114638594236,3.13311319791588,53.439673494733974,18.46864983159985,93152.125,780.4296315997829,0.0,2.5756667274636555,-2.636493114017924,6.197129894001628,55.369440186693225,6.261576448640165,0.0,0.0,11853.49360638582,484.0364311342349,0.0,11.998163550295416,0.0,1.586446992303745,141251.2814402812,12901.570480410748,28.9564,10.37179369068412,2140.3257,8.543942116435128,0,0.0,3.0177,3.488994674810752,911.1227498496125,197.1216575755193,39.6395,4.306366508041913,123.72861853604176,26.205442648996943,0,0.0,30.60363799013815,4.104412267937043,101.99358173397047,15.234357529569525,34.760069638122125,23.476927979462218
11,2.6803,4.218999559570768,7999.2197,6791.981228271495,0.0,6.601375352412573,0,7.42495894466942,1026.7664995791347,73.06862230196226,0.0,21970.673900490718,0,2.3693,274384.490963942,1797.2645701745637,0.0,3.9,10911.528704841729,1907.2207443695488,0,63.96750055320493,48.6344,20.5218078499893,36.92112599173349,11.679829009085058,7666.144886499963,776.9789689244949,7666.144886499963,776.9789689244949,0,0.0,0,3.2082,4472.296918960969,1368.3798507300148,2270.855172356605,3402.9081344194715,239.7154513672868,57.928291563188125,0.0,1.8889,6.275114638594236,3.10541319791588,51.57200286407142,18.42894983159985,95710.5938,788.0791315997828,0.0,1.9663667274636554,2.4032355073455745,6.197129894001628,56.17263691681107,6.250976448640165,0.0,0.0,11538.537349724418,484.4867311342349,0.0,12.038863550295417,0.0,1.5998469923037453,139654.50713172104,12900.976880410748,19.7393,10.35389369068412,2140.3545,8.522842116435129,0,0.0,0.0,4.542494674810753,838.6485748795674,197.9837575755193,36.9275,4.261866508041913,118.41959610496808,26.285942648996944,0,0.0,29.505395807841126,4.090812267937043,99.26654389273281,15.164757529569526,32.91289474523407,23.455427979462215
12,2.2777,3.712399559570768,6113.0615,6661.7999282714945,1.285,4.031675352412573,0,5.7308589446694205,94.69690855712747,57.83602230196227,0.0,21049.559400490718,0,1.541,132351.4575323542,1668.9118701745635,3.5224,1.9584,7445.611118734111,1891.9232443695487,0,52.69040055320493,74.8805,18.640407849989302,19.218085093008913,10.284929009085058,5687.816168447547,752.3665689244948,5687.816168447547,752.3665689244948,0,0.0,0,2.2774,3286.6988021604793,1339.9331507300149,-217.28517657356815,2695.0383344194715,212.55169377277255,58.80399156318813,0.0,1.3397,6.275114638594236,2.6547131979158802,73.9605296454797,17.474249831599852,1680.6279,330.4383315997828,0.0,1.8699667274636553,-2.636493114017924,6.197129894001628,56.7547708616903,5.4541764486401645,0.0,0.0,11247.244396674494,457.0794311342349,0.0,9.902963550295416,0.0,1.9274469923037452,204907.9266260381,12919.301580410747,0.0,10.748493690684121,557.3824,5.796242116435128,0,0.0,1.2417,3.0486946748107524,748.9008909864469,181.92095757551928,10.6933,2.5269665080419133,147.45161787771173,23.358442648996945,0,0.0,22.14886604530624,3.756212267937043,73.53170786611963,13.538057529569524,8.745434111901062,21.890627979462217
13,0.0,6.152299559570768,18241.6504,6823.680828271495,0.0,6.418575352412573,0,7.26495894466942,662.0724886249295,68.05912230196228,0.0,21592.63650049072,0,1.9227,213443.2487785541,1751.1307701745636,0.0,3.8581,13000.563080470516,1907.8753443695487,0,72.21160055320493,150.6696,20.664207849989303,40.037764154338205,11.51692900908506,12074.779624486724,796.2315689244948,12074.779624486724,796.2315689244948,0,0.0,0,3.0011,9212.974838442135,1394.967050730015,4168.6541484666395,3120.6191344194713,212.55169377277255,79.91789156318814,0.0,1.7526,6.275114638594236,2.94071319791588,104.69807722654966,19.48404983159985,28879.8984,563.1834315997828,0.0,1.8768667274636555,4.303438354755571,6.197129894001628,68.64790205750742,6.025276448640165,0.0,0.0,22048.920845983932,483.99573113423486,0.0,12.548863550295415,0.0,1.594046992303745,146959.64327041354,12897.648780410747,11.7137,9.95449369068412,1030.9774,6.922742116435128,0,0.0,3.516,3.3417946748107523,1561.1938573081106,195.90895757551928,14.1061,3.213866508041913,109.72016934854894,25.779842648996947,0,0.0,28.24983678115076,4.021712267937042,143.27827106117078,15.400057529569526,33.593486713080054,22.617927979462216
14,0.0,5.845299559570767,5669.3027,6729.114828271495,1.9017,4.315375352412573,0,7.27645894466942,359.86257989157974,68.70632230196227,0.0,21501.11160049072,0,2.0326,363305.0068984826,1833.4077701745637,0.0,3.9391,7227.780470274682,1894.5407443695487,0,58.11300055320493,73.9106,20.7555078499893,19.745754931313193,11.142129009085059,5966.390998826682,763.8690689244949,5966.390998826682,763.8690689244949,0,0.0,0,2.9981,4214.790742995664,1365.538550730015,2672.2124970879113,3143.2720344194713,347.68611272448834,61.83569156318813,0.0,1.7141,6.275114638594236,2.93471319791588,51.97400229245736,18.231649831599853,5044.3525,388.1027315997828,0.0,2.3483667274636555,-2.636493114017924,6.197129894001628,55.852617775320816,5.774876448640164,0.0,0.0,11589.733515435984,461.77063113423486,0.0,11.887763550295418,0.0,1.528546992303745,96490.71421765577,12823.187380410747,21.5555,10.28019369068412,1043.8666,7.072442116435129,0,0.0,0.0,5.0147946748107515,695.7363069918147,191.00015757551927,8.1304,3.227966508041913,104.51749015793604,25.283542648996946,0,0.0,19.846115111170324,3.8916122679370426,69.7186083061091,14.541957529569526,6.157609000246166,22.592927979462218
15,0.0,5.8169995595707675,5954.2153,6731.077428271495,0.0,4.989375352412573,0,6.97455894466942,374.37014615295834,68.92722230196227,0.0,21497.780900490718,0,2.112,363170.21073869197,1829.6591701745635,0.0,3.9422,7705.076590560337,1895.3585443695488,0,57.26270055320493,83.8094,20.804607849989303,28.869323648151116,11.29272900908506,5994.157677151211,763.0072689244948,5994.157677151211,763.0072689244948,0,0.0,0,3.0105,4377.415187889205,1366.119450730015,3387.6201767342245,3150.1346344194717,323.9314658260996,60.573191563188125,0.0,1.6872,6.275114638594236,2.9195131979158804,47.511147651766294,17.928649831599852,4299.4463,377.9833315997828,0.0,1.8341667274636553,2.278515058137733,6.197129894001628,54.67062287772472,5.735176448640164,0.0,0.0,11642.19547091221,461.3835311342349,0.0,11.958763550295416,0.0,1.523546992303745,97781.71169892931,12824.337880410747,18.0437,10.27779369068412,1046.4338,7.019242116435128,0,0.0,0.0,3.899494674810752,667.8496385682344,191.25405757551928,9.7291,3.210266508041913,103.83196738021441,25.213142648996943,0,0.0,20.952887715042273,3.894212267937043,70.9274840995104,14.469157529569525,7.792482580253821,22.566427979462215
16,0.0,4.844899559570768,14721.4209,6755.263528271495,0.0,5.879175352412573,0,6.78655894466942,436.55483490189795,65.27472230196227,0.0,21233.34040049072,0,1.9304,231232.88466087205,1756.9345701745635,0.0,4.0016,6945.176245745742,1892.0044443695488,0,65.36910055320493,128.5018,20.225407849989303,50.558509081689984,11.538429009085059,9742.505767467856,782.0696689244949,9742.505767467856,782.0696689244949,0,0.0,0,3.0413,8484.375584196527,1388.8065507300148,731.4437178887833,2899.2594344194717,212.55169377277255,65.55899156318813,0.0,1.6387,6.275114638594236,2.84551319791588,100.8056445806535,18.963749831599852,3653.8542,363.0931315997828,0.0,1.7842667274636554,3.205451069628636,6.197129894001628,65.77507716234365,5.841976448640165,0.0,0.0,23685.47516075666,477.85383113423484,0.0,11.117563550295417,0.0,1.5629469923037451,104909.1341190788,12828.883680410747,5.965,9.74609369068412,737.272,6.339442116435128,0,0.0,2.8399,3.298594674810752,1165.7245215333123,190.16825757551928,13.3772,2.913866508041913,126.93974042021283,25.053142648996946,0,10.9381,26.299544350846922,3.944112267937043,202.59527038924787,15.890857529569526,24.17395882376253,22.278127979462216
